classical_algorithm,key_size,pqc_replacement,Function,Deprecation_Date_Label,Standardization_Date_Label,Region,Status,status_url,Deprecation_Date_ISO,Standardization_Date_ISO,data_quality_notes
ECDSA,256-bit,AIMer-128f,Signature,,KpqC Round 2,KR,KpqC Round 2,https://kpqc.cryptolab.co.kr/,,,"Added 2026-05-10: variant set completion (BIKE, additional Classic-McEliece, SLH-DSA fast variants, SMAUG-T, NTRU+, Aigis, HAETAE, AIMer, MAYO, HAWK, IETF SLH-DSA codepoints, LMS, XMSS, composite ML-DSA hybrids)."
ECDSA,384-bit,AIMer-192f,Signature,,KpqC Round 2,KR,KpqC Round 2,https://kpqc.cryptolab.co.kr/,,,"Added 2026-05-10: variant set completion (BIKE, additional Classic-McEliece, SLH-DSA fast variants, SMAUG-T, NTRU+, Aigis, HAETAE, AIMer, MAYO, HAWK, IETF SLH-DSA codepoints, LMS, XMSS, composite ML-DSA hybrids)."
ECDSA,521-bit,AIMer-256f,Signature,,KpqC Round 2,KR,KpqC Round 2,https://kpqc.cryptolab.co.kr/,,,"Added 2026-05-10: variant set completion (BIKE, additional Classic-McEliece, SLH-DSA fast variants, SMAUG-T, NTRU+, Aigis, HAETAE, AIMer, MAYO, HAWK, IETF SLH-DSA codepoints, LMS, XMSS, composite ML-DSA hybrids)."
ECDSA,256-bit,MAYO-1,Signature,,NIST On-Ramp Round 2,NIST,Round 2,https://csrc.nist.gov/projects/post-quantum-cryptography,,,"Added 2026-05-10: variant set completion (BIKE, additional Classic-McEliece, SLH-DSA fast variants, SMAUG-T, NTRU+, Aigis, HAETAE, AIMer, MAYO, HAWK, IETF SLH-DSA codepoints, LMS, XMSS, composite ML-DSA hybrids)."
ECDSA,256-bit,MAYO-2,Signature,,NIST On-Ramp Round 2,NIST,Round 2,https://csrc.nist.gov/projects/post-quantum-cryptography,,,"Added 2026-05-10: variant set completion (BIKE, additional Classic-McEliece, SLH-DSA fast variants, SMAUG-T, NTRU+, Aigis, HAETAE, AIMer, MAYO, HAWK, IETF SLH-DSA codepoints, LMS, XMSS, composite ML-DSA hybrids)."
ECDSA,384-bit,MAYO-3,Signature,,NIST On-Ramp Round 2,NIST,Round 2,https://csrc.nist.gov/projects/post-quantum-cryptography,,,"Added 2026-05-10: variant set completion (BIKE, additional Classic-McEliece, SLH-DSA fast variants, SMAUG-T, NTRU+, Aigis, HAETAE, AIMer, MAYO, HAWK, IETF SLH-DSA codepoints, LMS, XMSS, composite ML-DSA hybrids)."
ECDSA,521-bit,MAYO-5,Signature,,NIST On-Ramp Round 2,NIST,Round 2,https://csrc.nist.gov/projects/post-quantum-cryptography,,,"Added 2026-05-10: variant set completion (BIKE, additional Classic-McEliece, SLH-DSA fast variants, SMAUG-T, NTRU+, Aigis, HAETAE, AIMer, MAYO, HAWK, IETF SLH-DSA codepoints, LMS, XMSS, composite ML-DSA hybrids)."
ECDSA,256-bit,HAWK-512,Signature,,NIST On-Ramp Round 2,NIST,Round 2,https://csrc.nist.gov/projects/post-quantum-cryptography,,,"Added 2026-05-10: variant set completion (BIKE, additional Classic-McEliece, SLH-DSA fast variants, SMAUG-T, NTRU+, Aigis, HAETAE, AIMer, MAYO, HAWK, IETF SLH-DSA codepoints, LMS, XMSS, composite ML-DSA hybrids)."
ECDSA,521-bit,HAWK-1024,Signature,,NIST On-Ramp Round 2,NIST,Round 2,https://csrc.nist.gov/projects/post-quantum-cryptography,,,"Added 2026-05-10: variant set completion (BIKE, additional Classic-McEliece, SLH-DSA fast variants, SMAUG-T, NTRU+, Aigis, HAETAE, AIMer, MAYO, HAWK, IETF SLH-DSA codepoints, LMS, XMSS, composite ML-DSA hybrids)."
RSA,2048-bit,LMS,Signature,,2020 (SP 800-208),NIST,SP 800-208,https://csrc.nist.gov/pubs/sp/800/208/final,,2020-10-01,"Added 2026-05-10: variant set completion (BIKE, additional Classic-McEliece, SLH-DSA fast variants, SMAUG-T, NTRU+, Aigis, HAETAE, AIMer, MAYO, HAWK, IETF SLH-DSA codepoints, LMS, XMSS, composite ML-DSA hybrids)."
RSA,2048-bit,XMSS,Signature,,2020 (SP 800-208),NIST,SP 800-208,https://csrc.nist.gov/pubs/sp/800/208/final,,2020-10-01,"Added 2026-05-10: variant set completion (BIKE, additional Classic-McEliece, SLH-DSA fast variants, SMAUG-T, NTRU+, Aigis, HAETAE, AIMer, MAYO, HAWK, IETF SLH-DSA codepoints, LMS, XMSS, composite ML-DSA hybrids)."
RSA,2048-bit,LMS-SHA256 (H20/W8),Signature,,2020 (SP 800-208),NIST,SP 800-208,https://csrc.nist.gov/pubs/sp/800/208/final,,2020-10-01,"Added 2026-05-10: variant set completion (BIKE, additional Classic-McEliece, SLH-DSA fast variants, SMAUG-T, NTRU+, Aigis, HAETAE, AIMer, MAYO, HAWK, IETF SLH-DSA codepoints, LMS, XMSS, composite ML-DSA hybrids)."
ECDSA,256-bit,id-MLDSA44-ECDSA-P256-SHA256,Composite Signature,,IETF Draft,IETF,Draft,https://datatracker.ietf.org/doc/draft-ietf-lamps-pq-composite-sigs/,,,"Added 2026-05-10: variant set completion (BIKE, additional Classic-McEliece, SLH-DSA fast variants, SMAUG-T, NTRU+, Aigis, HAETAE, AIMer, MAYO, HAWK, IETF SLH-DSA codepoints, LMS, XMSS, composite ML-DSA hybrids)."
Ed25519,255-bit,id-MLDSA44-Ed25519-SHA512,Composite Signature,,IETF Draft,IETF,Draft,https://datatracker.ietf.org/doc/draft-ietf-lamps-pq-composite-sigs/,,,"Added 2026-05-10: variant set completion (BIKE, additional Classic-McEliece, SLH-DSA fast variants, SMAUG-T, NTRU+, Aigis, HAETAE, AIMer, MAYO, HAWK, IETF SLH-DSA codepoints, LMS, XMSS, composite ML-DSA hybrids)."
RSA,2048-bit,id-MLDSA44-RSA2048-PSS-SHA256,Composite Signature,,IETF Draft,IETF,Draft,https://datatracker.ietf.org/doc/draft-ietf-lamps-pq-composite-sigs/,,,"Added 2026-05-10: variant set completion (BIKE, additional Classic-McEliece, SLH-DSA fast variants, SMAUG-T, NTRU+, Aigis, HAETAE, AIMer, MAYO, HAWK, IETF SLH-DSA codepoints, LMS, XMSS, composite ML-DSA hybrids)."
