patent_number,title,inventors,assignee,priority_date,issue_date,filing_date,cpc_codes,one_sentence_summary,primary_inventive_claim,crypto_agility_mode,migration_strategy,quantum_relevance,quantum_notes,protocols,classical_algorithms,pqc_algorithms,quantum_technology,key_management_ops,hardware_components,authentication_factors,standards_referenced,threat_model,entropy_source,primitive_types,application_domain,independent_claim_subjects,performance_claims,data_types_protected,compliance_targets,citation_graph,claim_dependencies,nist_round_status,pqc_migration_score,pqc_migration_reason,citation_graph_flag,pqc_migration_score_flag,dates_verified_iso8601,date_stamp
20260081775,System and method for managing verifiable cryptographic keys on end user,,"Thales Dis Cpl Usa, Inc.",,,2024-09-18,H04L9,A system for managing verifiable cryptographic keys on end-user devices using a cohort of trust and secret sharing to protect personal data at cloud services.,The invention creates a cohort of trust among user devices and cloud providers where each member holds a share of a cryptographic key. It verifies the integrity of shares and authenticity of members before reconstructing the key on an end-user device.,classical_only,none,none,none,TLS; SSL,Shamir's secret sharing,,none,generation; distribution; storage; destruction; rotation,mobile; cloud,possession,,insider,,hash,cloud,system for protecting personal data; system for managing verifiable cryptographic keys; method for protecting personal data,,PII,GDPR,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""system for protecting personal data""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""application manages keys""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""remove member on loss""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""remove member on opt-out""}, {""claim"": 5, ""depends_on"": [1], ""subject"": ""remove member on loss or opt-out""}, {""claim"": 6, ""depends_on"": [1], ""subject"": ""cohort includes cloud providers""}, {""claim"": 7, ""depends_on"": [6], ""subject"": ""prove authenticity to cloud providers""}, {""claim"": 8, ""depends_on"": [], ""subject"": ""system with cohort manager and secret sharing""}, {""claim"": 9, ""depends_on"": [8], ""subject"": ""n is less than m""}, {""claim"": 10, ""depends_on"": [8], ""subject"": ""reconstruction on end user device""}, {""claim"": 11, ""depends_on"": [8], ""subject"": ""cohort includes cloud providers""}, {""claim"": 12, ""depends_on"": [], ""subject"": ""method for protecting personal data""}, {""claim"": 13, ""depends_on"": [12], ""subject"": ""remove member on loss or opt-out""}, {""claim"": 14, ""depends_on"": [12], ""subject"": ""cohort includes cloud providers""}, {""claim"": 15, ""depends_on"": [12], ""subject"": ""use secret sharing algorithm""}]",[],5,Haiku PQC-relevance triage (score 5),no_citations_recorded,medium_pqc_relevance,yes,2026-06-08
20260058790,Side-Channel Leakage Engine,,Nxp B.V.,,,2024-08-21,H04L9,A side-channel leakage engine generates intentional power consumption noise by copying data to multiple registers to obscure sensitive cryptographic operations from side-channel attacks.,"The invention provides a side-channel leakage engine that initializes multiple copy registers and copies a leakage value to them to generate an observable characteristic proportional to bit transitions. This intentional leakage is timed to overlap with sensitive data transfers, creating interference that obscures the true power signature of cryptographic operations.",unclear,none,none,none,,AES,,none,,CPU; IoT,,,side-channel,TRNG,,IoT,method of operation for a side-channel leakage engine; apparatus comprising a leakage value circuit; method of operation for a side-channel leakage engine,,session-keys; root-keys,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method of operation for a side-channel leakage engine""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""observable characteristic comprises power consumption""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""receiving stored value as plaintext""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""controlling timing of copying""}, {""claim"": 5, ""depends_on"": [1], ""subject"": ""disabling subset of copy registers""}, {""claim"": 6, ""depends_on"": [1], ""subject"": ""initializing copy registers to different values""}, {""claim"": 7, ""depends_on"": [1], ""subject"": ""initializing with last copied value""}, {""claim"": 8, ""depends_on"": [1], ""subject"": ""modifying initial values based on device ID""}, {""claim"": 9, ""depends_on"": [1], ""subject"": ""initializing with random value""}, {""claim"": 10, ""depends_on"": [1], ""subject"": ""decoding leakage value to generate initial values""}, {""claim"": 11, ""depends_on"": [], ""subject"": ""apparatus comprising leakage value circuit and copy registers""}, {""claim"": 12, ""depends_on"": [11], ""subject"": ""configurator selectively enables copy registers""}, {""claim"": 13, ""depends_on"": [11], ""subject"": ""leakage value circuit comprises decoder""}, {""claim"": 14, ""depends_on"": [13], ""subject"": ""decoder generates initial values defining leakage function""}, {""claim"": 15, ""depends_on"": [11], ""subject"": ""copying contemporaneously with sensitive value transfer""}, {""claim"": 16, ""depends_on"": [], ""subject"": ""method of operation for side-channel leakage engine""}, {""claim"": 17, ""depends_on"": [16], ""subject"": ""generating observable characteristic unsynchronized""}, {""claim"": 18, ""depends_on"": [16], ""subject"": ""generating observable characteristic proximal to transfer""}, {""claim"": 19, ""depends_on"": [16], ""subject"": ""generating observable characteristic sequentially following execution""}, {""claim"": 20, ""depends_on"": [16], ""subject"": ""transfer of sensitive data is execution step""}]",[],5,Haiku PQC-relevance triage (score 5),no_citations_recorded,medium_pqc_relevance,yes,2026-06-08
20260039454,Key reuse in a cloud environment,,Oracle International Corporation,,,2024-07-30,H04L9,Techniques for detecting and mitigating the reuse of public cryptographic keys across user accounts and compute instances within a cloud environment by analyzing key occurrences in a database.,"The invention provides a method for detecting public key reuse in a cloud environment by querying a database of keys and attributes associated with user accounts and compute instances. Upon determining that a key or its attribute occurs more than a threshold number of times, the system tags the key as reused and generates an output or corrective action.",unclear,none,none,none,,,,none,storage; distribution,,possession,,insider,,hash,cloud,method for detecting key reuse; non-transitory computer-readable medium for detecting key reuse; system for detecting key reuse,,,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method for detecting key reuse""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""threshold number definition""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""occurrence across user accounts""}, {""claim"": 4, ""depends_on"": [3], ""subject"": ""different tenancies""}, {""claim"": 5, ""depends_on"": [4], ""subject"": ""same or different customers""}, {""claim"": 6, ""depends_on"": [3], ""subject"": ""same tenancy""}, {""claim"": 7, ""depends_on"": [1], ""subject"": ""occurrence across compute instances""}, {""claim"": 8, ""depends_on"": [7], ""subject"": ""tenancy scope for instances""}, {""claim"": 9, ""depends_on"": [1], ""subject"": ""occurrence across user account and compute instance""}, {""claim"": 10, ""depends_on"": [9], ""subject"": ""tenancy scope for mixed occurrences""}, {""claim"": 11, ""depends_on"": [1], ""subject"": ""attribute as fingerprint via hash""}, {""claim"": 12, ""depends_on"": [1], ""subject"": ""prompting user to change key""}, {""claim"": 13, ""depends_on"": [1], ""subject"": ""high threshold deactivation""}, {""claim"": 14, ""depends_on"": [1], ""subject"": ""rejecting new requests with reused key""}, {""claim"": 15, ""depends_on"": [1], ""subject"": ""single tenancy database""}, {""claim"": 16, ""depends_on"": [1], ""subject"": ""plurality of tenancies database""}, {""claim"": 17, ""depends_on"": [], ""subject"": ""non-transitory computer-readable medium""}, {""claim"": 18, ""depends_on"": [17], ""subject"": ""database scope for medium""}, {""claim"": 19, ""depends_on"": [], ""subject"": ""system for detecting key reuse""}, {""claim"": 20, ""depends_on"": [19], ""subject"": ""database scope for system""}]",[],6,Haiku PQC-relevance triage (score 6),no_citations_recorded,medium_pqc_relevance,yes,2026-06-08
20260039453,Encryption key management across multiple computing devices,,Hitachi Vantara Llc,,,2022-08-23,H04L9,A system for managing encryption keys across multiple computing devices by coordinating pre-active key creation and activation to ensure a single active key per entity.,"The invention provides a method for distributed key management where multiple computing devices independently request key creation from a key management device. It resolves concurrent requests by activating the pre-active key with the earliest creation time, ensuring only one active key exists per entity.",unclear,none,none,none,KMIP,,,none,generation; distribution; storage; rotation; destruction,,,,,,,cloud,system; method; non-transitory computer-readable media,latency,,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""system for key management""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""receiving activation success indication""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""receiving active KEK from second device""}, {""claim"": 4, ""depends_on"": [3], ""subject"": ""handling unsuccessful activation indication""}, {""claim"": 5, ""depends_on"": [1], ""subject"": ""destroying remaining pre-active KEKs""}, {""claim"": 6, ""depends_on"": [1], ""subject"": ""periodically receiving active KEKs""}, {""claim"": 7, ""depends_on"": [1], ""subject"": ""retiring active KEK after time expiration""}, {""claim"": 8, ""depends_on"": [7], ""subject"": ""using retired KEK for decryption only""}, {""claim"": 9, ""depends_on"": [7], ""subject"": ""re-encrypting DEKs with current active KEK""}, {""claim"": 10, ""depends_on"": [9], ""subject"": ""deactivating retired KEK and sending alert""}, {""claim"": 11, ""depends_on"": [1], ""subject"": ""storing active KEK in data structure with ID""}, {""claim"": 12, ""depends_on"": [], ""subject"": ""method for key management""}, {""claim"": 13, ""depends_on"": [12], ""subject"": ""receiving activation success indication""}, {""claim"": 14, ""depends_on"": [], ""subject"": ""non-transitory computer-readable media""}, {""claim"": 15, ""depends_on"": [14], ""subject"": ""receiving activation success indication""}]",[],6,Haiku PQC-relevance triage (score 6),no_citations_recorded,medium_pqc_relevance,yes,2026-06-08
20260005874,End to end trusted hsm setup using secure device,,"Thales Dis Cpl Usa, Inc.",,,2023-08-31,H04L9,"A system and method for securely configuring a Hardware Security Module (HSM) network using a trusted secure element device, employing certificate-based authentication and multi-factor authentication to transfer signed configuration data.","The invention provides a two-stage process for end-to-end trusted HSM setup. First, a secure element is programmed with signed network configuration data in a protected environment using certificate and user authentication. Second, the HSM authenticates the secure element via a chain of trust and retrieves the signed configuration to automatically initialize its network state without manual serial console input.",classical_only,none,none,none,PKI; TLS; SSL,RSA; ECDSA; ECDH; SHA-256,,none,generation; storage; exchange,HSM; smart-card; mobile; secure-element,knowledge; possession; inherence/biometric,,insider; untrusted-device,,signature; hash,cloud; banking; PKI,system for securely configuring a Hardware Server Module; method for securely configuring a Hardware Server Module,,network-configuration; private-keys,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""system for securely configuring a Hardware Server Module""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""secure element embedded in a smart card""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""secure element embedded in a USBC e-Token""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""secure element embedded in an NFC chip""}, {""claim"": 5, ""depends_on"": [1], ""subject"": ""authentication via multi-factor authentication""}, {""claim"": 6, ""depends_on"": [1], ""subject"": ""linking certificates through a chain of trust""}, {""claim"": 7, ""depends_on"": [1], ""subject"": ""signing customer configuration file with private key""}, {""claim"": 8, ""depends_on"": [7], ""subject"": ""validating signature of signed customer configuration file""}, {""claim"": 9, ""depends_on"": [1], ""subject"": ""unique IP addresses for multiple HSMs""}, {""claim"": 10, ""depends_on"": [9], ""subject"": ""automatic detection upon racking and stacking""}, {""claim"": 11, ""depends_on"": [], ""subject"": ""method for securely configuring a Hardware Server Module""}, {""claim"": 12, ""depends_on"": [11], ""subject"": ""detecting presence via smart card, eToken, or NFC""}, {""claim"": 14, ""depends_on"": [1], ""subject"": ""customer configuration file with unique IP addresses""}, {""claim"": 15, ""depends_on"": [14], ""subject"": ""automatic detection upon racking and stacking""}]",[],5,Haiku PQC-relevance triage (score 5),no_citations_recorded,medium_pqc_relevance,yes,2026-06-08
20250038978,Cryptography processor and method of operating the same,,"Samsung Electronics Co., Ltd.",,,2024-06-07,H04L9,A cryptography processor architecture featuring shared common operation circuits controlled by multiple function circuits to efficiently execute post-quantum cryptographic workloads like lattice-based algorithms.,"The invention provides a cryptography processor where a plurality of function circuits control shared common operation circuits to execute different cryptographic functions. This architecture allows hardware resources to be reused across various cryptographic operations, optimizing area and performance for post-quantum algorithms.",unclear,none,background_only,Quantum computing is mentioned in the background as the motivation for developing post-quantum cryptography (PQC) algorithms like lattice-based schemes. The patent claims hardware for executing these PQC algorithms but does not claim quantum technology itself. The invention is classical hardware designed to resist quantum attacks.,,,Falcon; NTRU-KEM,quantum_computing,generation,IoT; mobile; FPGA; ASIC; SoC,,,quantum-attack,,KEM; signature,IoT; cloud; banking,cryptography processor; method of performing a cryptographic operation; electronic device,HW-accel; parallelization; latency,,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""cryptography processor""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""common operation circuit with stage circuits""}, {""claim"": 3, ""depends_on"": [2], ""subject"": ""stages defined by operating frequency""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""shared clock signal for operation and I/O""}, {""claim"": 5, ""depends_on"": [1], ""subject"": ""control and general-purpose registers""}, {""claim"": 6, ""depends_on"": [1], ""subject"": ""pipelined execution of function""}, {""claim"": 7, ""depends_on"": [1], ""subject"": ""type converter with shifter""}, {""claim"": 8, ""depends_on"": [1], ""subject"": ""floating-point adder structure""}, {""claim"": 9, ""depends_on"": [8], ""subject"": ""floating-point adder stages""}, {""claim"": 10, ""depends_on"": [1], ""subject"": ""floating-point multiplier structure""}, {""claim"": 11, ""depends_on"": [1], ""subject"": ""polynomial multiplication control""}, {""claim"": 12, ""depends_on"": [11], ""subject"": ""polynomial multiplication details""}, {""claim"": 13, ""depends_on"": [1], ""subject"": ""sampler circuit control""}, {""claim"": 14, ""depends_on"": [13], ""subject"": ""pipelined sampler output""}, {""claim"": 15, ""depends_on"": [13], ""subject"": ""rejection sampling operation""}, {""claim"": 16, ""depends_on"": [], ""subject"": ""method of performing cryptographic operation""}, {""claim"": 17, ""depends_on"": [16], ""subject"": ""pipelined control method""}, {""claim"": 18, ""depends_on"": [16], ""subject"": ""shared clock control method""}, {""claim"": 19, ""depends_on"": [16], ""subject"": ""polynomial multiplication method""}, {""claim"": 20, ""depends_on"": [], ""subject"": ""electronic device""}]","[{""algorithm"": ""Falcon"", ""status"": ""fips_204""}, {""algorithm"": ""NTRU-KEM"", ""status"": ""fips_203""}]",8,Haiku PQC-relevance triage (score 8),no_citations_recorded,high_pqc_relevance,yes,2026-06-08
20250392468,System and method for privacy-preserving & post-quantum secure counter-denial,,University Of South Florida,,,2025-06-16,H04L9,"A system using a private spectrum bastion to distribute post-quantum puzzles via PIR for privacy-preserving, DoS-resistant spectrum access in wireless networks.","The invention discloses a private spectrum bastion that generates and stores post-quantum cryptographic puzzles indexed by privacy-preserving spectrum parameters. User devices retrieve these puzzles via Private Information Retrieval protocols to solve for access tokens, enabling authenticated, anonymous, and DoS-resistant access to public servers.",pqc_only,none,core_invention,"The invention is explicitly titled 'post-quantum secure' and relies on post-quantum cryptographic components (Dilithium signatures, Kyber KEM, lattice-based puzzles) in the independent claims to ensure security against quantum computing threats. The system is designed to be compliant with NIST-PQC standards.",PIR; Tor; Blockchain,AES; SHA-256; RSA,Dilithium; Kyber; ML-DSA; SLH-DSA; FN-DSA,quantum_computing,generation; storage,mobile; IoT,possession,NIST-PQC; FIPS 203; FIPS 204; FIPS 205,DoS; quantum-attack; metadata-exposure,OS,signature; hash; KEM,telecom; government; cloud,system comprising a processor and memory for generating privacy-preserving spectrum database; public server comprising a processor and memory for verifying access requests; non-transitory computer-readable medium for a user device,latency,PII; location,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""system comprising a processor and memory for generating privacy-preserving spectrum database""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""puzzle is quantum-safe based on hash function""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""puzzle is pre-computed""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""signature is Dilithium""}, {""claim"": 5, ""depends_on"": [1], ""subject"": ""request received via PIR""}, {""claim"": 6, ""depends_on"": [1], ""subject"": ""puzzle generated via function with difficulty/security inputs""}, {""claim"": 7, ""depends_on"": [1], ""subject"": ""token determined using server ID and hash""}, {""claim"": 8, ""depends_on"": [1], ""subject"": ""check for data defects and reconstruct using error-correction""}, {""claim"": 9, ""depends_on"": [], ""subject"": ""public server comprising a processor and memory for verifying access requests""}, {""claim"": 10, ""depends_on"": [9], ""subject"": ""puzzle is quantum-safe""}, {""claim"": 11, ""depends_on"": [9], ""subject"": ""puzzle is pre-computed""}, {""claim"": 12, ""depends_on"": [9], ""subject"": ""signature is Dilithium""}, {""claim"": 13, ""depends_on"": [9], ""subject"": ""puzzle generated via function with difficulty/security inputs""}, {""claim"": 14, ""depends_on"": [], ""subject"": ""non-transitory computer-readable medium for a user device""}, {""claim"": 15, ""depends_on"": [14], ""subject"": ""request sent via PIR""}, {""claim"": 16, ""depends_on"": [14], ""subject"": ""check for data defects and reconstruct using error-correction""}, {""claim"": 17, ""depends_on"": [14], ""subject"": ""puzzle is quantum-safe""}, {""claim"": 18, ""depends_on"": [14], ""subject"": ""signature is Dilithium""}, {""claim"": 19, ""depends_on"": [14], ""subject"": ""puzzle generated via function with difficulty/security inputs""}]","[{""algorithm"": ""Dilithium"", ""status"": ""fips_204""}, {""algorithm"": ""Kyber"", ""status"": ""fips_203""}, {""algorithm"": ""ML-DSA"", ""status"": ""fips_204""}, {""algorithm"": ""SLH-DSA"", ""status"": ""fips_205""}, {""algorithm"": ""FN-DSA"", ""status"": ""fips_205""}]",10,Haiku PQC-relevance triage (score 10),no_citations_recorded,high_pqc_relevance,yes,2026-06-08
20240314113,Methods of generating a key and a communication method,,Pqshield Ltd.,,,2024-05-24,H04L9,A post-quantum key generation method using receiver-oblivious ephemeral keys and key encapsulation mechanisms to establish session keys for secure peer-to-peer communication.,"The invention provides a method for generating a session key where a second peer obtains a receiver-oblivious ephemeral key from a first peer via a server. The second peer uses this key to compute a ciphertext encrypting a first parameter via a key encapsulation mechanism, signs the ciphertext, and sends the ciphertext and encrypted signature to allow the first peer to generate the session key.",negotiated,crypto_agility,dependent_claim_only,"Quantum technology is referenced in the background as the motivation for post-quantum cryptography. Specific post-quantum algorithms (lattice, code, multivariate, isogeny) are claimed in dependent claims 3, 9, and 13. The independent claims (1, 7, 11) describe a generic key encapsulation mechanism without requiring post-quantum properties, making quantum resistance an optional embodiment.",X3DH; Double Ratchet,SHA-2; SHA-3; Diffie-Hellman,SABER; Round5; CRYSTALS-KYBER; Falcon; CRYSTALS-DILITHIUM,quantum_computing,generation; exchange; derivation,mobile,,,quantum-attack; unknown_key_share,OS,KEM; signature; hash; symmetric-cipher,telecom,method of generating a session key (second peer); method of generating a session key (first peer); non-transitory computer-readable storage medium,,session-keys,,US4200770,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method of generating a session key for exchange of data between a first peer and a second peer""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""using the ephemeral key to compute a ciphertext comprises applying a key encapsulation mechanism""}, {""claim"": 3, ""depends_on"": [2], ""subject"": ""key encapsulation mechanism is based on one of a lattice-based, code-based, multivariate-based, and isogeny-based key encapsulation mechanism""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""the ephemeral key is a receiver-oblivious ephemeral key""}, {""claim"": 5, ""depends_on"": [1], ""subject"": ""obtaining an ephemeral key comprises retrieving the ephemeral key from a server""}, {""claim"": 6, ""depends_on"": [1], ""subject"": ""using an encryption mechanism to encrypt the ciphertext signature comprises applying a public key encryption mechanism""}, {""claim"": 7, ""depends_on"": [], ""subject"": ""method of generating a session key for exchange of data between a first peer and a second peer""}, {""claim"": 8, ""depends_on"": [7], ""subject"": ""decrypting the ciphertext to obtain the first parameter comprises applying a decapsulation function of a key encapsulation mechanism""}, {""claim"": 9, ""depends_on"": [8], ""subject"": ""key encapsulation mechanism is based on one of a lattice-based, code-based, multivariate-based, and isogeny-based key encapsulation mechanism""}, {""claim"": 10, ""depends_on"": [8], ""subject"": ""decrypting the encrypted ciphertext signature comprises using a decryption function of a public key encryption scheme""}, {""claim"": 11, ""depends_on"": [], ""subject"": ""non-transitory computer-readable storage medium storing instructions""}, {""claim"": 12, ""depends_on"": [11], ""subject"": ""using the ephemeral key to compute a ciphertext comprises applying a key encapsulation mechanism""}, {""claim"": 13, ""depends_on"": [12], ""subject"": ""key encapsulation mechanism is based on one of a lattice-based, code-based, multivariate-based, and isogeny-based key encapsulation mechanism""}, {""claim"": 14, ""depends_on"": [11], ""subject"": ""the ephemeral key is a receiver-oblivious ephemeral key""}, {""claim"": 15, ""depends_on"": [11], ""subject"": ""obtaining an ephemeral key comprises retrieving the ephemeral key from a server""}]","[{""algorithm"": ""SABER"", ""status"": ""withdrawn""}, {""algorithm"": ""Round5"", ""status"": ""withdrawn""}, {""algorithm"": ""CRYSTALS-KYBER"", ""status"": ""fips_203""}, {""algorithm"": ""Falcon"", ""status"": ""fips_204""}, {""algorithm"": ""CRYSTALS-DILITHIUM"", ""status"": ""fips_204""}]",7,PQShield Ltd. is known PQC vendor; key generation methods suggest PQC-relevant cryptographic protocols.,citations_present:1,medium_pqc_relevance,yes,2026-06-08
20240187221,Agile cryptographic deployment service,,Visa International Service Association,,,2022-02-02,H04L9,"Methods and systems for crypto-agile encryption where protocol files dynamically identify software modules to generate shared secrets and session keys, allowing updates to cryptographic algorithms without full system reconfiguration.","The invention provides a method for securely communicating messages by using a protocol file to identify a subset of cryptographic software modules from a library to generate shared secrets and derive a session key. The protocol file can be updated to include additional or different modules, enabling the system to adapt its cryptographic protocol dynamically in response to security or performance needs.",negotiated,crypto_agility,background_only,"Quantum computing is mentioned in the background as a threat to current cryptosystems (e.g., Shor's Algorithm breaking RSA) and as a motivation for crypto-agility. Post-quantum schemes like NTRU are mentioned as examples of key pairs. No quantum technology is claimed or required for the primary invention.",,RSA; 3DES; AES; ECC,NTRU,quantum_computing,generation; derivation; exchange; distribution; storage; rotation,mobile; trusted execution environment,possession,,quantum-attack; cryptanalysis,,symmetric-cipher; KEM; signature; KDF,banking; payment,method for securely communicating a message (client); method for securely communicating a message (server); computer system,throughput,financial; session-keys; credentials,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method for securely communicating a message""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""shared secrets generated using encapsulation function""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""session signing key and digital signature""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""message comprises credential""}, {""claim"": 5, ""depends_on"": [1], ""subject"": ""receiving modules during registration""}, {""claim"": 6, ""depends_on"": [1], ""subject"": ""verifying digital signature of additional module""}, {""claim"": 7, ""depends_on"": [6], ""subject"": ""transmitting request for additional module""}, {""claim"": 8, ""depends_on"": [1], ""subject"": ""updating protocol to remove modules""}, {""claim"": 9, ""depends_on"": [1], ""subject"": ""using additional module for subsequent message""}, {""claim"": 10, ""depends_on"": [1], ""subject"": ""testing protocol update with test message""}, {""claim"": 11, ""depends_on"": [10], ""subject"": ""confirming match of test message""}, {""claim"": 12, ""depends_on"": [], ""subject"": ""method for securely communicating a message (server)""}, {""claim"": 13, ""depends_on"": [12], ""subject"": ""using cryptography server for de-encapsulation""}, {""claim"": 14, ""depends_on"": [12], ""subject"": ""determining module based on parameters""}, {""claim"": 15, ""depends_on"": [12], ""subject"": ""transmitting modules during registration""}, {""claim"": 16, ""depends_on"": [12], ""subject"": ""updating server protocol file""}, {""claim"": 17, ""depends_on"": [16], ""subject"": ""decrypting additional message with updated protocol""}, {""claim"": 18, ""depends_on"": [16], ""subject"": ""testing protocol update on server""}, {""claim"": 19, ""depends_on"": [18], ""subject"": ""indication message comprises test message""}, {""claim"": 20, ""depends_on"": [], ""subject"": ""computer system""}]",[],7,Agile cryptographic deployment directly addresses crypto agility and algorithm negotiation.,no_citations_recorded,medium_pqc_relevance,yes,2026-06-08
12069186,Systems and methods for post-quantum cryptography optimization,,"Wells Fargo Bank, N.A.",,,2023-06-15,H04L9,"Systems and methods for detecting quantum computing threats by encrypting fictitious data with classical asymmetric keys, destroying the private keys, and monitoring for decrypted data to trigger alerts.","The invention generates quantum computing detection data and encrypts it using classical asymmetric cryptographic keys. The private keys are destroyed immediately after encryption, and data environments are monitored for the appearance of the decrypted detection data to signal a quantum compromise.",hybrid,assessment,core_invention,"The primary invention is a system for detecting quantum computing threats. Independent claims 1, 11, and 20 explicitly claim 'quantum computing (QC) detection'. The method involves monitoring for the decryption of classical keys by a quantum computer to trigger an alert. Quantum computing is the central threat model and the purpose of the detection system.",TLS,RSA; DH; ECDH; AES; DSA; ECDSA,LMS; XMSS; SPHINCS+; Dilithium; qTESLA; NewHope; FrodoKEM; NTRU Prime; Kyber; FrodoDH; RLWE-KEX; SIKE; SIDH; Classic McEliece; QC-MDPC; BIKE; Rainbow; Picnic,quantum_computing,generation; destruction,,,NIST Post-Quantum Cryptography Standardization Process,quantum-attack; HNDL,,symmetric-cipher; KEM; signature,banking; financial,system for quantum computing (QC) detection; method for quantum computing (QC) detection; computer program product for quantum computing (QC) detection,,financial; mortgage information; tax information,FDIC,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""system for quantum computing (QC) detection""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""generating first QC detection alert control signal""}, {""claim"": 3, ""depends_on"": [2], ""subject"": ""generating second QC detection alert control signal""}, {""claim"": 4, ""depends_on"": [3], ""subject"": ""different key lengths for first and second QC detection data""}, {""claim"": 5, ""depends_on"": [1], ""subject"": ""different cryptostrength or cryptographic technique""}, {""claim"": 6, ""depends_on"": [1], ""subject"": ""specific RSA, DH, ECDH key pairs""}, {""claim"": 7, ""depends_on"": [1], ""subject"": ""QC detection data comprises fictitious code-signing certificate""}, {""claim"": 8, ""depends_on"": [1], ""subject"": ""generating symmetric cryptographic keys""}, {""claim"": 9, ""depends_on"": [8], ""subject"": ""encrypting symmetric keys with asymmetric keys""}, {""claim"": 10, ""depends_on"": [8], ""subject"": ""generating symmetric keys based on asymmetric keys""}, {""claim"": 11, ""depends_on"": [], ""subject"": ""method for quantum computing (QC) detection""}, {""claim"": 12, ""depends_on"": [11], ""subject"": ""generating first QC detection alert control signal""}, {""claim"": 13, ""depends_on"": [12], ""subject"": ""generating second QC detection alert control signal""}, {""claim"": 14, ""depends_on"": [13], ""subject"": ""different key lengths for first and second QC detection data""}, {""claim"": 15, ""depends_on"": [11], ""subject"": ""different cryptostrength or cryptographic technique""}, {""claim"": 16, ""depends_on"": [11], ""subject"": ""specific RSA, DH, ECDH key pairs""}, {""claim"": 17, ""depends_on"": [11], ""subject"": ""QC detection data comprises fictitious code-signing certificate""}, {""claim"": 18, ""depends_on"": [11], ""subject"": ""generating symmetric cryptographic keys""}, {""claim"": 19, ""depends_on"": [18], ""subject"": ""encrypting symmetric keys with asymmetric keys""}, {""claim"": 20, ""depends_on"": [], ""subject"": ""computer program product for quantum computing (QC) detection""}]","[{""algorithm"": ""LMS"", ""status"": ""stateful_hash_standard""}, {""algorithm"": ""XMSS"", ""status"": ""stateful_hash_standard""}, {""algorithm"": ""SPHINCS+"", ""status"": ""fips_205""}, {""algorithm"": ""Dilithium"", ""status"": ""fips_204""}, {""algorithm"": ""Kyber"", ""status"": ""fips_203""}, {""algorithm"": ""Classic McEliece"", ""status"": ""fips_203""}, {""algorithm"": ""BIKE"", ""status"": ""withdrawn""}, {""algorithm"": ""FrodoKEM"", ""status"": ""withdrawn""}, {""algorithm"": ""SIKE"", ""status"": ""withdrawn""}, {""algorithm"": ""SIDH"", ""status"": ""withdrawn""}, {""algorithm"": ""Rainbow"", ""status"": ""withdrawn""}, {""algorithm"": ""Picnic"", ""status"": ""withdrawn""}, {""algorithm"": ""RSA"", ""status"": ""classical""}, {""algorithm"": ""DH"", ""status"": ""classical""}, {""algorithm"": ""ECDH"", ""status"": ""classical""}, {""algorithm"": ""AES"", ""status"": ""classical""}]",8,Explicit PQC optimization focus with Wells Fargo backing; high relevance to PQC migration infrastructure.,no_citations_recorded,high_pqc_relevance,yes,2026-06-08
