id,label,description,industries,countries,requires_pqc,deadline,notes,enforcement_body,library_refs,timeline_refs,body_type,website,trusted_source_id,peer_reviewed,vetting_body,website_url_quality,confidence_score,cswp39_tags,naics_codes,status,deprecated_at,deprecated_reason,related_standards
SG-CSA-QUANTUM,Singapore CSA Quantum-Safe Handbook,Singapore Cyber Security Agency national guidelines for quantum-safe transition across all sectors,92;54;52;51,SG,yes,Ongoing (published 2024),"CSA Singapore published the National Quantum-Safe Handbook providing comprehensive PQC migration guidance for all sectors. Goes beyond MAS financial circular (MAS-CIRCULAR) to cover government, telecom, and technology sectors. Includes algorithm selection guidance aligned with NIST FIPS 203/204/205, migration planning templates, and industry-specific recommendations. Singapore also runs a QKD Sandbox program.",CSA Singapore,Singapore-CSA-Quantum-Safe-Handbook,Singapore:CSA/MAS,compliance_framework,https://www.csa.gov.sg/,csa-singapore,yes,CSA Singapore,url_needs_review,85,,92;54;52;51,active,,,
BRAZIL-ANPD-PQC,Brazil LGPD/ANPD PQC Guidance,Brazilian data protection authority ANPD guidance on cryptographic requirements under LGPD with PQC implications,92;54;52,BR,no,Ongoing,"Brazil Lei Geral de Protecao de Dados (LGPD) requires appropriate technical measures including encryption for personal data protection. ANPD (Autoridade Nacional de Protecao de Dados) has published guidance on security measures. While no explicit PQC mandate exists, LGPD long data retention requirements (up to lifetime for health data) create HNDL risk. Brazil is Latin Americas largest economy and a major financial services market. Banco Central do Brasil participates in BIS quantum readiness initiatives.",ANPD,FIPS 203;FIPS 204;FIPS 205,,compliance_framework,https://www.gov.br/anpd/pt-br,enisa,yes,ANPD,url_needs_review,85,,92;54;52,active,,,
DENMARK-CFCS-PQC,Denmark CFCS PQC Guidance,Danish Centre for Cyber Security post-quantum cryptography guidance for government and critical infrastructure,92;54,DK,yes,Ongoing (aligned with EU coordinated roadmap),"CFCS (Centre for Cybersikkerhed) published PQC migration guidance for Danish government entities and critical infrastructure operators. Denmark is a Five Eyes+ partner and aligns with EU NIS2 and the EU coordinated PQC roadmap (EU-REC-2024-1101) timelines: national roadmaps by Dec 2026, high-risk migration by Dec 2030, full transition by Dec 2035. CFCS is part of the Danish Defence Intelligence Service.",CFCS,FIPS 203;FIPS 204;FIPS 205,,compliance_framework,https://cfcs.dk/,ncsc-uk,yes,CFCS,url_needs_review,85,,92;54,active,,,
DFS-NYCRR-500,NY DFS 23 NYCRR 500,New York Department of Financial Services cybersecurity regulation with explicit encryption and key management requirements,52,US,no,Ongoing (Second Amendment effective Nov 2025),"NY DFS 23 NYCRR Part 500 is one of the most prescriptive US financial cybersecurity regulations. Section 500.15 requires encryption of nonpublic information both in transit and at rest using controls identified by the CISO risk assessment. The Second Amendment (effective November 2025) added enhanced requirements for encryption, key management, and incident response. While no explicit PQC mandate, the encryption requirements create a compliance pathway for PQC adoption as NIST standards mature. Applies to all DFS-regulated entities including banks, insurers, and financial service companies operating in New York.",NY DFS,FIPS 203;FIPS 204;FIPS 205,,compliance_framework,https://www.dfs.ny.gov/industry_guidance/cybersecurity,nydfs,yes,NY DFS,url_authoritative,85,,52,active,,,
ETSI-EN-303645,ETSI EN 303 645 (IoT Security),ETSI baseline cybersecurity standard for consumer IoT products with cryptographic requirements affecting long-lived devices,54;22;51,PQC-REGION-EU;PQC-REGION-GLOBAL,no,Ongoing (mandatory under EU RED delegated act from August 2025),"ETSI EN 303 645 establishes baseline cybersecurity provisions for consumer IoT products. Provision 5.1 mandates that all cryptography used must follow best practice and be updateable. The EU Radio Equipment Directive (RED) delegated act makes compliance mandatory for wireless IoT devices sold in the EU from August 2025. PQC relevance: IoT devices with 10-15 year lifespans deployed today will operate well into the CRQC era. The crypto-agility requirement (updatable cryptography) supports future PQC migration. Covers smart home, wearables, connected appliances, and industrial IoT.",ETSI/EU Commission,FIPS 203;FIPS 204;FIPS 205,,compliance_framework,https://www.etsi.org/deliver/etsi_en/303600_303699/303645/,etsi-cyber,yes,ETSI/EU Commission,url_authoritative,85,,54;22;51,active,,,
PQCA,PQCA,Post-Quantum Cryptography Alliance — Linux Foundation project advancing PQC adoption through open-source tooling and community collaboration,54;92;52,PQC-REGION-GLOBAL,guidance,Ongoing,"Founded 2024 by Linux Foundation with AWS, Cisco, IBM, Google, NVIDIA, SandboxAQ, and others. Houses the OQS project and PQ Code Package. Promotes standardized open-source PQC implementations.",Linux Foundation,liboqs-v0.15.0,,industry_alliance,https://pqca.org,pqca,partial,Linux Foundation,url_authoritative,60,,54;92;52,active,,,
PQC-COALITION,PQC Coalition,PQC Coalition — MITRE-led cooperative advancing quantum-safe migration across critical infrastructure sectors,92;22;52;62,US;PQC-REGION-GLOBAL,guidance,Ongoing,"Launched by MITRE with members from government agencies and industry. Focuses on practical PQC migration guidance, interoperability testing, and sector-specific transition plans.",MITRE,FIPS 203;FIPS 204;FIPS 205,,industry_alliance,https://pqc-coalition.org,mitre,partial,MITRE,url_needs_review,60,,92;22;52;62,active,,,
QED-C,QED-C,Quantum Economic Development Consortium — NIST-established consortium enabling the quantum ecosystem including PQC readiness assessment,54;92;52;22,US;PQC-REGION-GLOBAL,guidance,Ongoing,"Established by NIST in 2018 under the National Quantum Initiative Act. Over 300 members from industry, academia, and government. Develops use cases, standards alignment, and workforce development for quantum technologies including PQC.",NIST; SRI International,FIPS 203;FIPS 204;FIPS 205,,industry_alliance,https://quantumconsortium.org,nist-csrc,partial,NIST,url_needs_review,60,,54;92;52;22,active,,,
APRA-CPS-234,APRA CPS 234,"APRA Prudential Standard CPS 234 Information Security — mandatory for all APRA-regulated entities including banks, insurers, and superannuation funds. Requires robust information security capabilities proportionate to information asset criticality; cryptographic controls are explicitly in scope.",52,AU,partial,Ongoing,CPS 234 requires information security capabilities commensurate with threats; APRA has flagged quantum computing as an emerging threat in its operational risk guidance. APRA-regulated entities performing cryptographic risk assessments must address PQC transition timelines.,APRA,AU-ASD-ISM-Crypto-2024;APRA-CPS-234,,compliance_framework,https://www.apra.gov.au/information-security,apra,yes,APRA,url_authoritative,85,,52,active,,,
ACSC-ESSENTIAL-EIGHT,ACSC Essential Eight,Australian Cyber Security Centre (ACSC) Essential Eight Maturity Model — eight baseline mitigation strategies mandated for Australian government entities and widely adopted in critical infrastructure and finance. Patch management and application hardening strategies directly intersect PQC transition planning.,92;54;52,AU,partial,Ongoing,Essential Eight Maturity Level 3 requires patching within 48 hours for critical vulnerabilities and enforces strong cryptographic controls on internet-facing services. ASD guidance explicitly references PQC readiness as part of cryptographic agility planning under the ISM.,ASD,AU-ASD-ISM-Crypto-2024;ACSC-Essential-Eight,,compliance_framework,https://www.cyber.gov.au/business-government/asds-cyber-security-frameworks/essential-eight/essential-eight-maturity-model,acsc,yes,ASD,url_authoritative,85,,92;54;52,active,,,
AU-PRIVACY-ACT,Australian Privacy Act (APPs),"Privacy Act 1988 (Cth) with Australian Privacy Principles (APPs) — enforced by the Office of the Australian Information Commissioner (OAIC). APP 11 requires organisations to take reasonable steps to protect personal information, including cryptographic security controls. Post-quantum transition affects long-term data confidentiality.",52;62;54;92,AU,partial,Ongoing,The Privacy Act reform (2024) significantly increased penalties for serious or repeated breaches (up to AUM). Harvest-now-decrypt-later attacks on personal data held by financial institutions are directly addressed by PQC transition planning under APP 11.,OAIC,AU-Privacy-Act-APPs,,compliance_framework,https://www.oaic.gov.au/privacy/australian-privacy-principles,oaic,yes,OAIC,url_authoritative,85,,52;62;54;92,active,,,
AUSTRAC-AML-CTF,AUSTRAC AML/CTF Act,"Anti-Money Laundering and Counter-Terrorism Financing Act 2006 — enforced by AUSTRAC. Regulated reporting entities (banks, fintechs, crypto exchanges) must maintain secure cryptographic systems for transaction reporting and record-keeping. AML/CTF Rules require integrity and authenticity controls over financial intelligence data.",52,AU,partial,Ongoing,"AUSTRAC AML/CTF Act Chapter 2 requires reporting entities to maintain appropriate authentication and encryption for AUSTRAC reporting channels. The 2024 reforms extending regulated sectors (lawyers, accountants, real estate) increase the number of entities needing cryptographic compliance.",AUSTRAC,AUSTRAC-AML-CTF-Act,,compliance_framework,https://www.austrac.gov.au/amlctf-reform,austrac,yes,AUSTRAC,url_authoritative,60,,52,active,,,
OSFI-B13-PQC,OSFI Guideline B-13 — Operational Risk and Resilience (Crypto Controls),"Office of the Superintendent of Financial Institutions guideline B-13 on operational risk and resilience. Covers cryptographic controls for federally regulated financial institutions (FRFIs). Institutions must maintain crypto inventories, assess quantum risk, and implement crypto-agility.",52,CA,yes,"2025 (B-13 effective), PQC alignment expected by 2030","OSFI B-13 (effective Jan 2024) requires FRFIs to manage cryptographic risk under operational resilience. OSFI has signaled alignment with NIST PQC timelines. Financial institutions should expect PQC requirements in forthcoming supervisory guidance. Canada's primary banking regulator (covers banks, insurance, trust companies).",OSFI,CA-CFDIR-Quantum-Readiness-2023,,compliance_framework,https://www.osfi-bsif.gc.ca/en/risks/technology-cyber-risk-management,osfi,yes,OSFI,url_needs_review,80,,52,active,,,
CFDIR-QR-2023,Canada CFDIR Quantum-Readiness Best Practices,"Canadian quantum-readiness best practices and guidelines published by the Centre for Financial Democracy and Innovation Regulation (CFDIR) in partnership with Innovation Science and Economic Development Canada. Covers quantum threat assessment, migration prioritization, and hybrid PQC deployment for financial sector.",52;92;22,CA,yes,2030 (aligned with NIST IR 8547),"CFDIR guidance provides Canada-specific quantum-readiness framework for financial institutions and critical infrastructure. Aligned with NIST PQC standards and CCCS guidance. Covers threat landscape, migration roadmap, algorithm selection, and vendor assessment criteria for Canadian context.",CFDIR / Innovation Science and Economic Development Canada,CA-CFDIR-Quantum-Readiness-2023,,compliance_framework,https://ised-isde.canada.ca,ised-canada,yes,Innovation Science and Economic Development Canada,url_needs_review,80,,52;92;22,active,,,
UK-DSIT-CNI-PQC,UK DSIT CNI PQC Transition Perspectives,"UK Department for Science, Innovation and Technology perspectives on PQC transition planning from Critical National Infrastructure sectors. Sets expectations for CNI operators (energy, water, transport, finance) to engage with NCSC migration timelines and report readiness.",92;22;52;51;22,GB,yes,2028 (Phase 1 alignment); 2031 (high-priority CNI systems),DSIT published perspectives document (July 2025) requesting CNI sectors develop PQC transition plans aligned with NCSC three-phase roadmap. Represents government expectation — not yet statutory mandate — for critical sectors. Supplements UK-NCSC guidance with sector-specific engagement requirements.,UK DSIT / NCSC,UK-DSIT-CNI-PQC-Perspectives-2025;UK-NCSC-Migration-Timelines-2025,United Kingdom:DSIT,compliance_framework,https://www.gov.uk/government/organisations/department-for-science-innovation-and-technology,uk-dsit,yes,"UK Department for Science, Innovation and Technology",url_needs_review,80,,92;22;52;51;22,active,,,
ACPR,ACPR (French Banking & Insurance Regulator),"Autorité de Contrôle Prudentiel et de Résolution — French prudential regulator for banking and insurance sectors, supervised by Banque de France",52;52,FR,expected,2030 (aligned with ANSSI/DORA timelines),ACPR supervises French banks and insurers for operational and cyber resilience. DORA compliance (effective Jan 2025) now governs digital operational resilience for regulated entities. ACPR aligns with ANSSI guidance on cryptographic migration. No standalone PQC mandate issued; institutions expected to follow ANSSI recommendations and DORA ICT risk requirements. ACPR participated in European Banking Authority (EBA) guidance on ICT risk management.,ACPR,ANSSI PQC Position Paper;ANSSI PQC Follow-up Paper;ANSSI-PG-083-v3-2026,,regulatory_body,https://acpr.banque-france.fr,acpr-france,no,Banque de France,url_authoritative,70,,52;52,active,,,
AMF-FR,AMF (French Securities Regulator),Autorité des marchés financiers — French securities and financial markets regulator,52,FR,expected,2030 (aligned with ANSSI/DORA/MiCA timelines),"AMF regulates French financial markets including investment firms, fund managers, and market infrastructure. Subject to DORA (effective Jan 2025) for ICT risk and operational resilience. MiCA introduces crypto-asset market regulation with cybersecurity requirements. No standalone PQC mandate issued; firms expected to follow ANSSI guidance and DORA ICT risk framework for cryptographic agility.",AMF,ANSSI PQC Position Paper;ANSSI PQC Follow-up Paper,,regulatory_body,https://www.amf-france.org,amf-france,no,AMF,url_authoritative,70,,52,active,,,
DSPF-PQC,DSPF (Defence),Australian Defence Security Principles Framework — cryptography transition requirements for all ADF personnel and cleared contractors,92,AU,yes,2030 (ISM-1917 cascades to all Defence-cleared systems),"The Defence Security Principles Framework (DSPF) applies to all Australian Defence Organisation personnel, contractors, and cleared entities. PQC transition is governed by ISM-1917 requirements cascading through DSPF. All ADF systems handling PROTECTED and above classifications must achieve ML-DSA-87 / ML-KEM-1024 compliance by end of 2030. Entities holding Defence security clearances must demonstrate a PQC transition plan by end of 2026 per ISM guidance.",Department of Defence,,Australia:ASD,compliance_framework,https://www.defence.gov.au/business-industry/industry-governance/defence-security-principles-framework,acsc,yes,Department of Defence,,,,,active,,restored from archive 2026-05-03,
ZA-POPIA,POPIA,South Africa Protection of Personal Information Act — data protection regulation with strong encryption and breach-notification requirements relevant to PQC migration for long-retention data,52;62;54;92,ZA,no,Ongoing,"POPIA Section 19 requires ""appropriate, reasonable technical and organisational measures"" including encryption for personal information. Long data-retention obligations expose regulated entities to HNDL risk; migration guidance expected from the Information Regulator as NIST PQC suite gains regional traction via SABS.",Information Regulator (South Africa),NIST-SP-800-131A-Rev3;ZA-POPIA-TEXT,South Africa:IR,compliance_framework,https://inforegulator.org.za,,yes,Information Regulator (South Africa),,,,,active,,restored from archive 2026-05-03,
NG-NDPR,NDPR / NDPA 2023,"Nigeria Data Protection Regulation + Nigeria Data Protection Act 2023 — jointly enforced by the Nigeria Data Protection Commission (NDPC), with explicit encryption obligations for personal data",52;54;51;92,NG,no,Ongoing,"NDPA 2023 establishes the NDPC and codifies the prior NDPR. Section 39 mandates appropriate technical measures including encryption. NITDA has signalled alignment with NIST PQC suite for regulated sectors (banking, telecoms). No explicit PQC deadline but HNDL exposure on financial and health data is material.",NDPC (Nigeria Data Protection Commission),NIST-SP-800-131A-Rev3,Nigeria:NDPC,compliance_framework,https://ndpc.gov.ng,,yes,NDPC,,,,,active,,restored from archive 2026-05-03,
KE-DPA,Kenya Data Protection Act 2019,Kenya Data Protection Act — enforced by the Office of the Data Protection Commissioner (ODPC); imposes encryption-at-rest and in-transit obligations on data controllers,52;54;51;62,KE,no,Ongoing,ODPC Guidance Note on Data Protection by Design (2022) requires state-of-the-art cryptography. The Communications Authority of Kenya is coordinating with ODPC on PQC readiness for the telecoms sector. M-Pesa and other mobile-money rails are high-HNDL-exposure systems.,ODPC (Kenya),NIST-SP-800-131A-Rev3;KE-DPA-TEXT,Kenya:ODPC,compliance_framework,https://www.odpc.go.ke,,yes,ODPC,,,,,active,,restored from archive 2026-05-03,
EG-PDPL,Egypt Personal Data Protection Law,Egypt Law No. 151 of 2020 on the Protection of Personal Data — enforced by the Egyptian Data Protection Center (DPC); mandates encryption and security controls for personal data processing,52;54;51;92,EG,no,Ongoing,Law 151/2020 came into force in October 2020; executive regulations issued 2024. Article 6 requires controllers to implement encryption proportionate to risk. Egypt Financial Regulatory Authority is tracking NIST PQC adoption; no explicit PQC deadline yet but HNDL risk is material for long-lived government records.,DPC (Egypt),NIST-SP-800-131A-Rev3,Egypt:MCIT,compliance_framework,https://mcit.gov.eg,,yes,MCIT Egypt,,,,,active,,restored from archive 2026-05-03,
AU-MALABO,African Union Malabo Convention,African Union Convention on Cyber Security and Personal Data Protection — pan-continental instrument harmonising cybersecurity and data-protection regimes across AU member states,52;54;51;92;62,PQC-REGION-AU-AFRICA,no,Ongoing (entered into force June 2023),The Malabo Convention entered into force on 8 June 2023 after Mauritania deposited the 15th instrument of ratification. Article 25 requires member states to adopt appropriate technical measures including encryption. The AU Cybersecurity Expert Group 2025 report highlights quantum-safe transition as a priority for regional harmonisation.,African Union Commission,NIST-SP-800-131A-Rev3,African Union:AUC,compliance_framework,https://au.int/en/treaties/african-union-convention-cyber-security-and-personal-data-protection,,yes,African Union Commission,,,,,active,,restored from archive 2026-05-03,
EUCC-V2,EUCC v2.0,EU Cybersecurity Certification Scheme Agreed Cryptographic Mechanisms v2.0,92;54,PQC-REGION-EU,yes,Ongoing (April 2025 update),EUCC Agreed Cryptographic Mechanisms v2.0 now includes PQC algorithms for EU cybersecurity certification. ENISA migrated certification pages to certification.enisa.europa.eu in 2025; old enisa.europa.eu/topics/certification/* URLs now 404.,ECCG/ENISA,EUCC v2.0 ACM,European Union:ECCG,certification_body,https://certification.enisa.europa.eu/certification-library/eucc-certification-scheme_en,enisa,,,,,,,active,,restored from archive 2026-03-05,
BSI-PQC-ADVISORY,BSI Post-Quantum Standardization Advisory,"BSI ongoing PQC pre-standardization activity covering algorithm selection commentary, harmonization with NIST FIPS 203/204/205/206, and German-context migration recommendations. Advisory / forward-looking; tracks closely with NIST PQC programme on its own timeline.",Government & Defense;Finance & Banking;Technology;Energy & Utilities,DE,guidance,Ongoing (forward-looking advisory),Pre-standardization advisory — complements BSI TR-02102 (Algorithmenkatalog) which is the binding cryptographic recommendation.,BSI (Bundesamt für Sicherheit in der Informationstechnik),FIPS 203;FIPS 204;FIPS 205,Germany:BSI,standardization_body,https://www.bsi.bund.de/EN/Themen/Unternehmen-und-Organisationen/Informationen-und-Empfehlungen/Quantentechnologien-und-Post-Quanten-Kryptografie/quantentechnologien-und-post-quanten-kryptografie_node.html,bsi,yes,,url_authoritative,85,,52;54;92,active,,,
PRA-SS2-21,PRA Operational Resilience (SS1/21 + cyber),"UK PRA supervisory statement on operational resilience, scoped to Tier 1/2 banks, insurers, and major investment firms. The most specific UK supervisory channel on quantum-risk timelines for financial firms.",Finance & Banking,GB,expected,Ongoing (FCA cyber guidance is referenced via PRA-supervised firms'' operational-resilience obligations),Anchor PRA supervisory statement (SS1/21 + 2024 cyber resilience update). FCA cybersecurity guidance for non-PRA-supervised firms is treated as a complementary overlay — not a separate compliance row.,Bank of England — Prudential Regulation Authority,,,regulatory_body,https://www.bankofengland.co.uk/prudential-regulation,pra-uk,yes,,url_authoritative,85,,52,active,,,
ICO-UK-ENC,UK ICO Encryption Guidance (UK GDPR Art. 32),UK Information Commissioner''s Office guidance on encryption as a Reasonable Step under UK GDPR Article 32. Codifies current data-at-rest and data-in-transit cryptographic-adequacy expectations; does not mandate PQC.,Healthcare;Finance & Banking;Government & Defense;Retail;Technology,GB,no,In force (UK GDPR),PQC migration not addressed by ICO directly; UK GDPR Art. 32 reads cryptographic adequacy through industry standards (NIST / NCSC etc.). PQC adoption inherited as those references update.,UK Information Commissioner's Office,,,regulatory_body,https://ico.org.uk/for-organisations/uk-gdpr-guidance-and-resources/security/encryption/,ico-uk,yes,,url_authoritative,85,,52;54;62;44,active,,,
NSM-NO-GP,NSM Grunnprinsipper for IKT-sikkerhet (Norway),Norwegian National Security Authority's foundational ICT-security principles — closest Nordic analogue to NIST CSF. NSM publishes explicit PQC positioning and is the unambiguous primary Nordic crypto-guidance authority.,Government & Defense;Energy & Utilities;Telecommunications;Finance & Banking,NO,guidance,Ongoing (latest revision tracks NIST PQC standardisation cadence),Strongest Nordic row — NSM has published explicit PQC positioning beyond the generic NIST cross-reference common to other Nordic agencies.,Nasjonal sikkerhetsmyndighet (NSM),,,standardization_body,https://nsm.no/regelverk-og-hjelp/rad-og-anbefalinger/grunnprinsipper-for-ikt-sikkerhet/,nsm-norway,yes,,url_authoritative,85,,92;22;51;52,active,,,
MSB-SE-CYB,MSB Sweden Cyber Resilience Metodstöd,"Swedish Civil Contingencies Agency cyber-resilience guidance. MSB is the civil-contingency umbrella; for algorithm-level guidance, cross-reference MSB Metodstöd documents and NCSC-SE bulletins (which sit across SÄPO/MSB depending on topic).",Government & Defense;Energy & Utilities;Healthcare,SE,guidance,Ongoing,NCSC-SE crypto-specific guidance is the operational layer beneath MSB; PQC migration tracked via Metodstöd updates.,Myndigheten för samhällsskydd och beredskap (MSB),,,standardization_body,https://www.msb.se/en,msb-sweden,yes,,url_authoritative,75,,92;22;62,active,,,
NCSC-FI-PQC,NCSC-FI / Traficom Finland Cyber Security Centre Bulletins,Finnish National Cyber Security Centre (under Traficom). 'Kyberturvallisuuden tilannekuva' situational picture and technical bulletins drive PQC awareness and timing across Finnish public and critical-infrastructure sectors.,Government & Defense;Telecommunications;Energy & Utilities;Finance & Banking,FI,guidance,Ongoing,Often underrated regionally; bulletins are technically precise. PQC migration cadence tracks NIST + ENISA alignment.,NCSC-FI / Traficom,,,standardization_body,https://www.kyberturvallisuuskeskus.fi/en,ncsc-fi,yes,,url_authoritative,80,,92;51;22;52,active,,,
CHILE-ANCI,Chile ANCI Cybersecurity Standards (Ley 21.663),Chile Agencia Nacional de Ciberseguridad (established by Ley 21.663 / 2023) is the designated national cybersecurity authority. Has already issued binding technical standards across critical-information sectors.,Government & Defense;Finance & Banking;Telecommunications;Energy & Utilities,CL,expected,Ongoing (standards being issued progressively post-2024),Strongest LATAM cyber-regulator authority today — Tier 1 add per geographic-depth vetting.,Agencia Nacional de Ciberseguridad (ANCI),,,regulatory_body,https://www.anci.gob.cl/,anci-chile,yes,,url_authoritative,80,,92;52;51;22,active,,,
MEXICO-CNBV-CUB,CNBV Circular Única de Bancos (Mexico),Mexican National Banking and Securities Commission cryptographic-control expectations for banks under the Circular Única de Bancos (CUB). Mature financial-sector cyber-regulation channel — preferred over fragmented NOM cyber standards.,Finance & Banking,MX,expected,Ongoing (latest CUB amendments),"Scoped to Mexican FS regulated entities. Other Mexican cyber bodies (CEDN federal, CNS NOM standards) are out of FS scope and not yet sufficiently consolidated to warrant separate rows.",Comisión Nacional Bancaria y de Valores (CNBV),,,regulatory_body,https://www.cnbv.gob.mx/,cnbv-mexico,yes,,url_authoritative,80,,52,active,,,
ARGENTINA-ONTI,Argentina ONTI Cyber Baseline (Secretaría de Innovación Pública),Argentina Oficina Nacional de Tecnologías de Información — the correct cyber authority for federal government (AFIP is the tax authority; BCRA covers financial sector — both are separate from ONTI).,Government & Defense,AR,expected,Ongoing,"AFIP previously suggested in audit gap was wrong — AFIP is a tax authority, not a cyber regulator. ONTI is the correct government-cyber row; BCRA Comunicación A-series belongs in FS scope.",ONTI / Secretaría de Innovación Pública,,,regulatory_body,https://www.argentina.gob.ar/jefatura/innovacion-publica,onti-argentina,yes,,url_authoritative,75,,92,active,,,
BRAZIL-BACEN-4893,BACEN Resolution 4.893 (Brazil FS Cyber),Brazilian central bank Resolution 4.893 sets encryption requirements for financial sector institutions. Pairs with ANPD (LGPD) on data-protection cryptographic adequacy; both are well-documented and more mature than most LATAM cyber-regulator entries.,Finance & Banking,BR,expected,"Ongoing (Resolution 4.893 in force, subsequent amendments)",Companion FS row to BRAZIL-ANPD-PQC (data-protection scope). PQC migration will land via the cryptographic-adequacy clause of Resolution 4.893 as NIST + central-bank guidance converge.,Banco Central do Brasil (BACEN),,,regulatory_body,https://www.bcb.gov.br/estabilidadefinanceira/seguranca_cibernetica,bacen-brazil,yes,,url_authoritative,80,,52,active,,,
ID-PDP,Indonesia Personal Data Protection Law (UU PDP),Indonesia Law No. 27 of 2022 on Personal Data Protection — establishes a national data-protection regime with explicit obligations on technical and organisational security measures including encryption.,52;54;51;92,ID,no,Ongoing,UU PDP entered into force October 2022 with a two-year transition (effective enforcement October 2024). Article 35 requires controllers to implement technical safeguards including encryption proportionate to risk. BSSN (Badan Siber dan Sandi Negara) issues sectoral cryptographic guidance and has begun tracking NIST PQC selections for government systems. No explicit PQC deadline yet but HNDL exposure on long-lived government and banking records is material.,PDP Authority (under KomDigi) + BSSN,NIST-SP-800-131A-Rev3,,compliance_framework,https://www.bssn.go.id,,yes,BSSN,,,,,active,,,
TH-PDPA,Thailand Personal Data Protection Act (PDPA 2019),Thailand PDPA B.E. 2562 (2019) — comprehensive data-protection law enforced by the PDPC; requires appropriate security measures for personal data including encryption.,52;54;51;92,TH,no,Ongoing,"PDPA fully effective June 2022 after deferrals. Section 37 obliges data controllers to provide adequate security measures, with PDPC guidance pointing at internationally recognised standards (ISO 27001, NIST SP 800-series). NCSA (National Cyber Security Agency) issued a 2024 cyber resilience plan that flags post-quantum readiness for critical infrastructure (CII) sectors. ETDA is exploring PQC for the national digital signature framework.",PDPC (Thailand) + NCSA + ETDA,NIST-SP-800-131A-Rev3,,compliance_framework,https://www.pdpc.or.th,,yes,PDPC,,,,,active,,,
VN-CYBER,Vietnam Cybersecurity Law + Decree 13/2023,Vietnam Law on Cybersecurity (2018) plus Decree 13/2023 on Personal Data Protection — joint framework enforced by MIC and the Ministry of Public Security (A05); mandates encryption for personal data processing and cross-border transfers.,52;54;51;92,VN,no,Ongoing,Decree 13/2023/NĐ-CP took effect July 2023 and is the operative PDP instrument. Article 26 requires controllers to apply technical security measures including encryption. MIC and A05 publish cryptographic requirements for licensed services; no explicit PQC mandate yet but the Vietnam Government Cipher Commission has tracked NIST FIPS 203/204/205 selections.,MIC + A05 (Ministry of Public Security),NIST-SP-800-131A-Rev3,,compliance_framework,https://mic.gov.vn,,yes,MIC,,,,,active,,,
PH-DPA,Philippines Data Privacy Act (RA 10173),Philippines Data Privacy Act of 2012 (Republic Act No. 10173) — enforced by the National Privacy Commission (NPC); mandates encryption for sensitive personal information at rest and in transit.,52;54;51;92,PH,no,Ongoing,NPC Circular 16-01 requires AES-256 (or equivalent) for sensitive personal information held by government and material covered entities. DICT (Department of Information and Communications Technology) is the lead on national cybersecurity and tracks NIST PQC outputs for inclusion in the National Cybersecurity Plan 2023-2028. HNDL exposure on national-ID (PhilSys) and banking data is the primary near-term concern.,NPC (Philippines) + DICT,NIST-SP-800-131A-Rev3,,compliance_framework,https://www.privacy.gov.ph,,yes,NPC,,,,,active,,,
EE-CSA,Estonia Cybersecurity Act + RIA PQC Guidance,"Estonian Cybersecurity Act (2018, updated for NIS2 transposition 2024) — enforced by RIA (Information System Authority); applies to operators of essential and important services; aligns with EUCC and ENISA PQC guidance.",52;54;51;92,EE,guidance,Ongoing,"Estonia operates the most mature national digital-signature ecosystem in the EU (ID-card, Mobile-ID, Smart-ID — all eIDAS qualified). RIA has issued written guidance to qualified trust service providers (QTSPs) to begin PQC readiness assessments aligned with ENISA and ETSI TS 119 312. Estonia transposed NIS2 in 2024 with explicit reference to post-quantum migration as a ""state of the art"" obligation. No fixed PQC deadline but RIA expects QTSPs to publish PQC roadmaps by 2027.",RIA (Estonian Information System Authority),NIST-SP-800-131A-Rev3,,compliance_framework,https://www.ria.ee,,yes,RIA,,,,,active,,,
IE-NCSC,Ireland NCSC PQC Guidance + NIS2 Transposition,Irish National Cyber Security Centre PQC guidance plus NIS2 transposition via the National Cyber Security Bill 2024 — enforced by NCSC-IE under DECC; aligns with ENISA PQC guidelines and EUCC.,52;54;51;92,IE,guidance,Ongoing,"NCSC-IE published the 2023 ""Quantum Threat to Cryptography"" advisory recommending that public-sector and CII operators begin crypto inventory and PQC readiness work. Ireland transposed NIS2 via the National Cyber Security Bill 2024 (assented 2025) with a ""state of the art"" cryptography duty that explicitly contemplates PQC migration. NCSC-IE coordinates with ENISA, NCSC-UK, and BSI on cross-border guidance.",NCSC-IE (under DECC),NIST-SP-800-131A-Rev3,,compliance_framework,https://www.ncsc.gov.ie,,yes,NCSC-IE,,,,,active,,,
BE-NIS2,Belgium NIS2 Transposition + CCB Cybersecurity Strategy,Belgian NIS2 transposition (Law of 26 April 2024) + the Centre for Cybersecurity Belgium (CCB) Cybersecurity Strategy 2.0 — covers essential and important entities with explicit reference to post-quantum migration.,52;54;51;92,BE,guidance,Ongoing,Belgium transposed NIS2 via the Law of 26 April 2024 (effective 18 October 2024) with the CCB as competent authority. The CCB Cybersecurity Strategy 2.0 (2021-2025) names post-quantum cryptography as a strategic axis; the CCB has published organisational guidance for crypto-agility inventories. Belgium also hosts the EU institutions which themselves run PQC pilots under the Commission DG DIGIT.,CCB (Centre for Cybersecurity Belgium),NIST-SP-800-131A-Rev3,,compliance_framework,https://ccb.belgium.be,,yes,CCB,,,,,active,,,
